arm,slots_per_layer,rounds,mean_transition_ms,mean_transition_gap_ms,mean_memory_reclaim_mib,mean_tpot_ms,tpot_slowdown,misses_per_text_event,mean_bytes_loaded_mib,successful_output_rate
resident_baseline,384,3,0.0,0.0,0.0,206.78586046625344,1.0,39.61290322580645,3626.4468688964844,1.0
pause_only,384,3,198.97700923805436,199.43519829151532,0.0,210.04203147816634,1.0157465844355653,38.94444444444444,3450.243288675944,1.0
pause_evict_368,368,3,303.4781103488058,303.89737904382247,0.0,234.22581190243363,1.1326974260924298,47.544444444444444,4212.151507059733,1.0
pause_evict_352,352,3,307.45393061079085,308.4315174104025,0.0,318.9123730943908,1.542234910913727,72.64444444444445,6435.860376993815,1.0
pause_evict_320,320,3,290.3843514310817,290.897875946636,0.0,386.14813168533146,1.867381700154248,66.0111111111111,5848.186983744304,1.0
