label,level,entry_seconds,wake_api_seconds,wake_to_first_chunk_seconds,critical_seconds,hold_seconds,continuous,cross_request_exact_match
Level 0: keep GPU,0,0.4407470030710101,0.007385377073660493,1.021038712002337,1.4691710921470076,2.000087260035798,True,False
Level 2: SSD KV,2,0.5807625341694802,149.30167660396546,68.98749119788408,218.86993033601902,300.0000959751196,True,False
Level 1: host weights,1,34.056768647162244,1.2975408879574388,54.262635325081646,89.61694486020133,300.00010034884326,True,False
