label,hot_slots,scenario,seconds,speedup,bytes
Naive full host,380,full,1.047567371162586,1.0,58884001628
Recent-32 K=256 (p50),256,p50,0.790161251090467,1.3257640383110207,44081254625
Recent-32 K=256 (p95),256,p95,0.8030039579607546,1.304560657238733,44533483347
Recent-32 K=288 (p50),288,p50,0.8597010979428887,1.2185251056084814,47974758074
Recent-32 K=288 (p95),288,p95,0.871778073022142,1.2016445510392861,48368135113
Recent-32 K=304 (p50),304,p50,0.893510099966079,1.1724180523559335,49916863613
Recent-32 K=304 (p95),304,p95,0.904982578009367,1.1575552906961522,50297850824
Recent-32 K=320 (p50),320,p50,0.9278531249146909,1.1290228410438363,51865164066
Recent-32 K=320 (p95),320,p95,0.9385359820444137,1.1161717730636913,52221371621
