arm,slots_per_layer,rounds,mean_transition_ms,mean_transition_gap_ms,mean_memory_reclaim_mib,mean_tpot_ms,tpot_slowdown,misses_per_text_event,mean_bytes_loaded_mib,successful_output_rate
resident_baseline,384,3,0.0,0.0,0.0,202.79502007696362,1.0,36.16129032258065,3310.4616775512695,1.0
pause_only,384,3,203.4330372698605,203.9764660100142,0.0,206.26480011491194,1.017109789168548,36.9,3269.117820739746,1.0
pause_evict_383,383,3,317.02135837016004,317.4448354014506,0.0,209.7223231214143,1.0341591378418546,37.62222222222222,3333.1023610432944,1.0
pause_evict_382,382,3,317.981928276519,318.41896497644484,0.0,212.54712588981621,1.048088487622386,37.977777777777774,3364.6024424235025,1.0
pause_evict_380,380,3,315.0308723561466,315.5305916443467,0.0,216.63503249042802,1.06824631299236,39.32222222222222,3483.7121251424155,1.0
pause_evict_376,376,3,315.03181299194694,315.50617756632465,0.0,228.8383822112034,1.1284220989467884,40.37777777777778,3577.2279917399087,1.0
